Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
44,name,name557,Web,complete,insertValue,2019-03-07T09:28:20.249+11:00,surname,surname557,Web,complete,insertValue,2019-03-07T09:28:20.249+11:00,age,19,Web,complete,insertValue,2019-03-07T09:28:25.615+11:00,4,type,Web,complete,insertValue,2019-03-07T09:28:26.780+11:00,B4,Web,complete,clickButton,2019-03-07T09:28:35.314+11:00,Web,complete,goToUrl,2019-03-07T09:28:38.356+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:28:39.379+11:00,valueX,valuex557,Web,complete,insertValue,2019-03-07T09:28:58.266+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:29:03.796+11:00,,
45,name,name427,Web,complete,insertValue,2019-03-07T09:29:13.796+11:00,surname,surname427,Web,complete,insertValue,2019-03-07T09:29:16.033+11:00,age,37,Web,complete,insertValue,2019-03-07T09:29:25.574+11:00,3,type,Web,complete,insertValue,2019-03-07T09:29:29.419+11:00,B4,Web,complete,clickButton,2019-03-07T09:29:40.395+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:29:42.526+11:00,data123.xls,1482,Excel,complete,findValue,TRUE,2019-03-07T09:29:46.779+11:00,copy,B,value427,Excel,1,complete,2019-03-07T09:29:51.857+11:00,finalCode,vaue427,Web,complete
46,name,name1235,Web,complete,insertValue,2019-03-07T09:30:09.107+11:00,surname,surname1235,Web,complete,insertValue,2019-03-07T09:30:14.654+11:00,age,27,Web,complete,insertValue,2019-03-07T09:30:18.850+11:00,2,type,Web,complete,insertValue,2019-03-07T09:30:27.386+11:00,B1,Web,complete,clickButton,2019-03-07T09:30:28.376+11:00,insertValue,B,1177,Excel,7,complete,2019-03-07T09:30:32.262+11:00,Web,complete,goToUrl,2019-03-07T09:30:33.745+11:00,www.webpage2.com,value2,value1177,Web,complete,copy,2019-03-07T09:30:40.826+11:00,paste,C,vaue1177,Excel,2
47,name,name1891,Web,complete,insertValue,2019-03-07T09:31:01.374+11:00,surname,surname1891,Web,complete,insertValue,2019-03-07T09:31:14.961+11:00,age,27,Web,complete,insertValue,2019-03-07T09:31:36.600+11:00,4,type,Web,complete,insertValue,2019-03-07T09:31:42.444+11:00,B4,Web,complete,clickButton,2019-03-07T09:31:46.862+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:31:49.431+11:00,data123.xls,3456,Excel,complete,findValue,FALSE,2019-03-07T09:31:51.900+11:00,copy,B,value1891,Excel,1,complete,2019-03-07T09:31:57.076+11:00,finalCode,vaue1891,Web,complete
48,name,name2930,Web,complete,insertValue,2019-03-07T09:32:11.946+11:00,surname,surname2930,Web,complete,insertValue,2019-03-07T09:32:18.765+11:00,age,25,Web,complete,insertValue,2019-03-07T09:32:28.179+11:00,1,type,Web,complete,insertValue,2019-03-07T09:32:31.573+11:00,B1,Web,complete,clickButton,2019-03-07T09:32:45.917+11:00,insertValue,B,4431,Excel,11,complete,2019-03-07T09:32:48.386+11:00,Web,complete,goToUrl,2019-03-07T09:32:53.716+11:00,www.webpage2.com,value2,value4431,Web,complete,copy,2019-03-07T09:33:01.740+11:00,finalCode,vaue4431,Web,complete,paste
49,name,name2931,Web,complete,insertValue,2019-03-07T09:33:15.879+11:00,surname,surname2931,Web,complete,insertValue,2019-03-07T09:33:15.879+11:00,age,20,Web,complete,insertValue,2019-03-07T09:33:22.737+11:00,2,type,Web,complete,insertValue,2019-03-07T09:33:30.899+11:00,B1,Web,complete,clickButton,2019-03-07T09:33:40.747+11:00,insertValue,B,3328,Excel,35,complete,2019-03-07T09:33:44.236+11:00,Web,complete,goToUrl,2019-03-07T09:33:52.244+11:00,www.webpage2.com,value2,value3328,Web,complete,copy,2019-03-07T09:34:05.780+11:00,paste,C,vaue3328,Excel,2
50,name,name2538,Web,complete,insertValue,2019-03-07T09:34:20.867+11:00,surname,surname2538,Web,complete,insertValue,2019-03-07T09:34:30.820+11:00,age,25,Web,complete,insertValue,2019-03-07T09:34:36.427+11:00,3,type,Web,complete,insertValue,2019-03-07T09:34:43.010+11:00,B4,Web,complete,clickButton,2019-03-07T09:34:53.540+11:00,Web,complete,goToUrl,2019-03-07T09:34:58.382+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:35:00.588+11:00,valueX,valuex2538,Web,complete,insertValue,2019-03-07T09:35:08.679+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:35:11.427+11:00,,
51,name,name1666,Web,complete,insertValue,2019-03-07T09:35:21.427+11:00,surname,surname1666,Web,complete,insertValue,2019-03-07T09:35:29.608+11:00,age,27,Web,complete,insertValue,2019-03-07T09:35:38.031+11:00,3,type,Web,complete,insertValue,2019-03-07T09:35:50.872+11:00,B4,Web,complete,clickButton,2019-03-07T09:36:02.487+11:00,Web,complete,goToUrl,2019-03-07T09:36:04.806+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:36:07.663+11:00,valueX,valuex1666,Web,complete,insertValue,2019-03-07T09:36:10.984+11:00,OK,Web,complete,clickButton,2019-03-07T09:36:13.245+11:00,,
52,name,name1754,Web,complete,insertValue,2019-03-07T09:36:23.245+11:00,surname,surname1754,Web,complete,insertValue,2019-03-07T09:36:34.182+11:00,age,24,Web,complete,insertValue,2019-03-07T09:36:46.071+11:00,1,type,Web,complete,insertValue,2019-03-07T09:37:00.833+11:00,B1,Web,complete,clickButton,2019-03-07T09:37:11.432+11:00,insertValue,B,2933,Excel,24,complete,2019-03-07T09:37:13.641+11:00,Web,complete,goToUrl,2019-03-07T09:37:25.640+11:00,www.webpage2.com,value2,value2933,Web,complete,copy,2019-03-07T09:37:36.371+11:00,finalCode,vaue2933,Web,complete,paste
53,name,name598,Web,complete,insertValue,2019-03-07T09:37:51.873+11:00,surname,surname598,Web,complete,insertValue,2019-03-07T09:37:57.438+11:00,age,42,Web,complete,insertValue,2019-03-07T09:38:02.841+11:00,4,type,Web,complete,insertValue,2019-03-07T09:38:13.691+11:00,B4,Web,complete,clickButton,2019-03-07T09:38:20.929+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:38:23.592+11:00,data123.xls,3696,Excel,complete,findValue,TRUE,2019-03-07T09:38:28.179+11:00,copy,B,value598,Excel,1,complete,2019-03-07T09:38:31.337+11:00,paste,C,vaue598,Excel
54,name,name2290,Web,complete,insertValue,2019-03-07T09:38:50.431+11:00,surname,surname2290,Web,complete,insertValue,2019-03-07T09:38:53.247+11:00,age,29,Web,complete,insertValue,2019-03-07T09:38:53.796+11:00,3,type,Web,complete,insertValue,2019-03-07T09:38:54.956+11:00,B4,Web,complete,clickButton,2019-03-07T09:38:56.534+11:00,Web,complete,goToUrl,2019-03-07T09:39:00.797+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:39:01.771+11:00,valueX,valuex2290,Web,complete,insertValue,2019-03-07T09:39:09.443+11:00,OK,Web,complete,clickButton,2019-03-07T09:39:14.083+11:00,,
55,name,name1479,Web,complete,insertValue,2019-03-07T09:39:24.083+11:00,surname,surname1479,Web,complete,insertValue,2019-03-07T09:39:33.930+11:00,age,25,Web,complete,insertValue,2019-03-07T09:39:39.769+11:00,1,type,Web,complete,insertValue,2019-03-07T09:39:51.063+11:00,B1,Web,complete,clickButton,2019-03-07T09:40:00.140+11:00,insertValue,B,3578,Excel,13,complete,2019-03-07T09:40:03.523+11:00,Web,complete,goToUrl,2019-03-07T09:40:06.337+11:00,www.webpage2.com,value2,value3578,Web,complete,copy,2019-03-07T09:40:10.971+11:00,finalCode,vaue3578,Web,complete,paste
56,name,name1681,Web,complete,insertValue,2019-03-07T09:40:25.269+11:00,surname,surname1681,Web,complete,insertValue,2019-03-07T09:40:31.341+11:00,age,28,Web,complete,insertValue,2019-03-07T09:40:43.308+11:00,3,type,Web,complete,insertValue,2019-03-07T09:40:47.473+11:00,B4,Web,complete,clickButton,2019-03-07T09:40:56.806+11:00,Web,complete,goToUrl,2019-03-07T09:40:58.074+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:41:02.833+11:00,valueX,valuex1681,Web,complete,insertValue,2019-03-07T09:41:12.759+11:00,OK,Web,complete,clickButton,2019-03-07T09:41:16.498+11:00,,
57,name,name1984,Web,complete,insertValue,2019-03-07T09:41:26.498+11:00,surname,surname1984,Web,complete,insertValue,2019-03-07T09:41:34.239+11:00,age,19,Web,complete,insertValue,2019-03-07T09:41:45.943+11:00,1,type,Web,complete,insertValue,2019-03-07T09:41:52.292+11:00,B1,Web,complete,clickButton,2019-03-07T09:41:55.918+11:00,insertValue,B,4847,Excel,25,complete,2019-03-07T09:41:58.443+11:00,Web,complete,goToUrl,2019-03-07T09:42:00.595+11:00,www.webpage2.com,value2,value4847,Web,complete,copy,2019-03-07T09:42:03.644+11:00,paste,C,vaue4847,Excel,2
58,name,name1102,Web,complete,insertValue,2019-03-07T09:42:21.174+11:00,surname,surname1102,Web,complete,insertValue,2019-03-07T09:42:27.763+11:00,age,20,Web,complete,insertValue,2019-03-07T09:42:33.591+11:00,3,type,Web,complete,insertValue,2019-03-07T09:42:37.402+11:00,B4,Web,complete,clickButton,2019-03-07T09:42:42.018+11:00,Web,complete,goToUrl,2019-03-07T09:42:43.170+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:42:46.355+11:00,valueX,valuex1102,Web,complete,insertValue,2019-03-07T09:42:46.447+11:00,OK,Web,complete,clickButton,2019-03-07T09:42:50.007+11:00,,
59,name,name2480,Web,complete,insertValue,2019-03-07T09:43:00.007+11:00,surname,surname2480,Web,complete,insertValue,2019-03-07T09:43:06.812+11:00,age,29,Web,complete,insertValue,2019-03-07T09:43:12.067+11:00,2,type,Web,complete,insertValue,2019-03-07T09:43:19.432+11:00,B1,Web,complete,clickButton,2019-03-07T09:43:38.132+11:00,insertValue,B,2580,Excel,8,complete,2019-03-07T09:43:39.651+11:00,Web,complete,goToUrl,2019-03-07T09:43:44.630+11:00,www.webpage2.com,value2,value2580,Web,complete,copy,2019-03-07T09:43:50.169+11:00,paste,C,vaue2580,Excel,2
60,name,name1400,Web,complete,insertValue,2019-03-07T09:44:06.087+11:00,surname,surname1400,Web,complete,insertValue,2019-03-07T09:44:16.857+11:00,age,28,Web,complete,insertValue,2019-03-07T09:44:25.822+11:00,2,type,Web,complete,insertValue,2019-03-07T09:44:37.078+11:00,B1,Web,complete,clickButton,2019-03-07T09:44:43.463+11:00,insertValue,B,3512,Excel,32,complete,2019-03-07T09:44:47.056+11:00,Web,complete,goToUrl,2019-03-07T09:44:58.571+11:00,www.webpage2.com,value2,value3512,Web,complete,copy,2019-03-07T09:44:58.571+11:00,finalCode,vaue3512,Web,complete,paste
61,name,name1558,Web,complete,insertValue,2019-03-07T09:45:11.707+11:00,surname,surname1558,Web,complete,insertValue,2019-03-07T09:45:23.332+11:00,age,21,Web,complete,insertValue,2019-03-07T09:45:30.826+11:00,2,type,Web,complete,insertValue,2019-03-07T09:45:42.889+11:00,B1,Web,complete,clickButton,2019-03-07T09:45:52.185+11:00,insertValue,B,1037,Excel,19,complete,2019-03-07T09:45:54.417+11:00,Web,complete,goToUrl,2019-03-07T09:46:05.229+11:00,www.webpage2.com,value2,value1037,Web,complete,copy,2019-03-07T09:46:14.714+11:00,finalCode,vaue1037,Web,complete,paste
62,name,name1197,Web,complete,insertValue,2019-03-07T09:46:30.631+11:00,surname,surname1197,Web,complete,insertValue,2019-03-07T09:46:41.131+11:00,age,24,Web,complete,insertValue,2019-03-07T09:46:45.058+11:00,3,type,Web,complete,insertValue,2019-03-07T09:46:51.017+11:00,B4,Web,complete,clickButton,2019-03-07T09:47:03.611+11:00,Web,complete,goToUrl,2019-03-07T09:47:07.528+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:47:10.072+11:00,valueX,valuex1197,Web,complete,insertValue,2019-03-07T09:47:28.526+11:00,OK,Web,complete,clickButton,2019-03-07T09:47:31.642+11:00,,
63,name,name1244,Web,complete,insertValue,2019-03-07T09:47:41.642+11:00,surname,surname1244,Web,complete,insertValue,2019-03-07T09:47:48.170+11:00,age,26,Web,complete,insertValue,2019-03-07T09:48:01.956+11:00,2,type,Web,complete,insertValue,2019-03-07T09:48:10.852+11:00,B1,Web,complete,clickButton,2019-03-07T09:48:24+11:00,insertValue,B,4665,Excel,3,complete,2019-03-07T09:48:25.797+11:00,Web,complete,goToUrl,2019-03-07T09:48:27.877+11:00,www.webpage2.com,value2,value4665,Web,complete,copy,2019-03-07T09:48:27.877+11:00,paste,C,vaue4665,Excel,2
64,name,name443,Web,complete,insertValue,2019-03-07T09:48:43.039+11:00,surname,surname443,Web,complete,insertValue,2019-03-07T09:48:54.894+11:00,age,25,Web,complete,insertValue,2019-03-07T09:49:02.826+11:00,1,type,Web,complete,insertValue,2019-03-07T09:49:19.273+11:00,B1,Web,complete,clickButton,2019-03-07T09:49:33.344+11:00,insertValue,B,3861,Excel,18,complete,2019-03-07T09:49:35.134+11:00,Web,complete,goToUrl,2019-03-07T09:49:37.727+11:00,www.webpage2.com,value2,value3861,Web,complete,copy,2019-03-07T09:49:42.647+11:00,paste,C,vaue3861,Excel,2
65,name,name1823,Web,complete,insertValue,2019-03-07T09:50:00.194+11:00,surname,surname1823,Web,complete,insertValue,2019-03-07T09:50:06.488+11:00,age,40,Web,complete,insertValue,2019-03-07T09:50:14.344+11:00,2,type,Web,complete,insertValue,2019-03-07T09:50:22.885+11:00,B1,Web,complete,clickButton,2019-03-07T09:50:27.623+11:00,insertValue,B,1051,Excel,40,complete,2019-03-07T09:50:31.073+11:00,Web,complete,goToUrl,2019-03-07T09:50:43.449+11:00,www.webpage2.com,value2,value1051,Web,complete,copy,2019-03-07T09:51:01.332+11:00,paste,C,vaue1051,Excel,2
66,name,name1141,Web,complete,insertValue,2019-03-07T09:51:16.737+11:00,surname,surname1141,Web,complete,insertValue,2019-03-07T09:51:29.304+11:00,age,27,Web,complete,insertValue,2019-03-07T09:51:29.304+11:00,2,type,Web,complete,insertValue,2019-03-07T09:51:31.619+11:00,B1,Web,complete,clickButton,2019-03-07T09:51:39.895+11:00,insertValue,B,4721,Excel,25,complete,2019-03-07T09:51:43.549+11:00,Web,complete,goToUrl,2019-03-07T09:51:51.394+11:00,www.webpage2.com,value2,value4721,Web,complete,copy,2019-03-07T09:51:58.127+11:00,finalCode,vaue4721,Web,complete,paste
67,name,name745,Web,complete,insertValue,2019-03-07T09:52:15.030+11:00,surname,surname745,Web,complete,insertValue,2019-03-07T09:52:23.582+11:00,age,19,Web,complete,insertValue,2019-03-07T09:52:32.925+11:00,4,type,Web,complete,insertValue,2019-03-07T09:52:44.797+11:00,B4,Web,complete,clickButton,2019-03-07T09:52:55.732+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:52:58.594+11:00,data123.xls,3014,Excel,complete,findValue,FALSE,2019-03-07T09:53:01.249+11:00,copy,B,value745,Excel,1,complete,2019-03-07T09:53:04.249+11:00,finalCode,vaue745,Web,complete
68,name,name2115,Web,complete,insertValue,2019-03-07T09:53:19.328+11:00,surname,surname2115,Web,complete,insertValue,2019-03-07T09:53:31.482+11:00,age,25,Web,complete,insertValue,2019-03-07T09:53:42.847+11:00,2,type,Web,complete,insertValue,2019-03-07T09:53:56.728+11:00,B1,Web,complete,clickButton,2019-03-07T09:54:12.304+11:00,insertValue,B,3622,Excel,15,complete,2019-03-07T09:54:13.902+11:00,Web,complete,goToUrl,2019-03-07T09:54:14.335+11:00,www.webpage2.com,value2,value3622,Web,complete,copy,2019-03-07T09:54:21.463+11:00,finalCode,vaue3622,Web,complete,paste
69,name,name1426,Web,complete,insertValue,2019-03-07T09:54:37.165+11:00,surname,surname1426,Web,complete,insertValue,2019-03-07T09:54:50.998+11:00,age,22,Web,complete,insertValue,2019-03-07T09:54:56.385+11:00,1,type,Web,complete,insertValue,2019-03-07T09:55:03.118+11:00,B1,Web,complete,clickButton,2019-03-07T09:55:08.360+11:00,insertValue,B,4371,Excel,38,complete,2019-03-07T09:55:11.412+11:00,Web,complete,goToUrl,2019-03-07T09:55:29.687+11:00,www.webpage2.com,value2,value4371,Web,complete,copy,2019-03-07T09:55:33.101+11:00,paste,C,vaue4371,Excel,2
70,name,name1298,Web,complete,insertValue,2019-03-07T09:55:48.112+11:00,surname,surname1298,Web,complete,insertValue,2019-03-07T09:56:00.178+11:00,age,24,Web,complete,insertValue,2019-03-07T09:56:07.884+11:00,4,type,Web,complete,insertValue,2019-03-07T09:56:21.007+11:00,B4,Web,complete,clickButton,2019-03-07T09:56:33.714+11:00,Web,complete,goToUrl,2019-03-07T09:56:36.306+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:56:39.612+11:00,valueX,valuex1298,Web,complete,insertValue,2019-03-07T09:56:54.481+11:00,OK,Web,complete,clickButton,2019-03-07T09:56:58.833+11:00,,
71,name,name1108,Web,complete,insertValue,2019-03-07T09:57:08.833+11:00,surname,surname1108,Web,complete,insertValue,2019-03-07T09:57:12.509+11:00,age,26,Web,complete,insertValue,2019-03-07T09:57:25.698+11:00,1,type,Web,complete,insertValue,2019-03-07T09:57:28.437+11:00,B1,Web,complete,clickButton,2019-03-07T09:57:37.698+11:00,insertValue,B,4751,Excel,15,complete,2019-03-07T09:57:40.102+11:00,Web,complete,goToUrl,2019-03-07T09:57:49.689+11:00,www.webpage2.com,value2,value4751,Web,complete,copy,2019-03-07T09:57:51.416+11:00,finalCode,vaue4751,Web,complete,paste
72,name,name441,Web,complete,insertValue,2019-03-07T09:58:07.788+11:00,surname,surname441,Web,complete,insertValue,2019-03-07T09:58:17.134+11:00,age,39,Web,complete,insertValue,2019-03-07T09:58:23.871+11:00,1,type,Web,complete,insertValue,2019-03-07T09:58:31.481+11:00,B1,Web,complete,clickButton,2019-03-07T09:58:41.100+11:00,insertValue,B,2430,Excel,34,complete,2019-03-07T09:58:45.733+11:00,Web,complete,goToUrl,2019-03-07T09:58:47.079+11:00,www.webpage2.com,value2,value2430,Web,complete,copy,2019-03-07T09:58:59.626+11:00,finalCode,vaue2430,Web,complete,paste
73,name,name2448,Web,complete,insertValue,2019-03-07T09:59:13.038+11:00,surname,surname2448,Web,complete,insertValue,2019-03-07T09:59:16.103+11:00,age,25,Web,complete,insertValue,2019-03-07T09:59:28.911+11:00,1,type,Web,complete,insertValue,2019-03-07T09:59:44.996+11:00,B1,Web,complete,clickButton,2019-03-07T10:00:06.055+11:00,insertValue,B,1406,Excel,34,complete,2019-03-07T10:00:09.163+11:00,Web,complete,goToUrl,2019-03-07T10:00:16.222+11:00,www.webpage2.com,value2,value1406,Web,complete,copy,2019-03-07T10:00:21.183+11:00,finalCode,vaue1406,Web,complete,paste
74,name,name2591,Web,complete,insertValue,2019-03-07T10:00:36.635+11:00,surname,surname2591,Web,complete,insertValue,2019-03-07T10:00:48.718+11:00,age,21,Web,complete,insertValue,2019-03-07T10:00:48.718+11:00,2,type,Web,complete,insertValue,2019-03-07T10:00:48.718+11:00,B1,Web,complete,clickButton,2019-03-07T10:01:01.438+11:00,insertValue,B,2947,Excel,23,complete,2019-03-07T10:01:04.795+11:00,Web,complete,goToUrl,2019-03-07T10:01:13.844+11:00,www.webpage2.com,value2,value2947,Web,complete,copy,2019-03-07T10:01:20.325+11:00,finalCode,vaue2947,Web,complete,paste
75,name,name2478,Web,complete,insertValue,2019-03-07T10:01:38.043+11:00,surname,surname2478,Web,complete,insertValue,2019-03-07T10:01:42.763+11:00,age,25,Web,complete,insertValue,2019-03-07T10:01:54.100+11:00,4,type,Web,complete,insertValue,2019-03-07T10:01:56.283+11:00,B4,Web,complete,clickButton,2019-03-07T10:01:59.951+11:00,Excel,complete,openFile,Sheet1,2019-03-07T10:02:02.706+11:00,data123.xls,3176,Excel,complete,findValue,FALSE,2019-03-07T10:02:06.050+11:00,copy,B,value2478,Excel,1,complete,2019-03-07T10:02:08.252+11:00,paste,C,vaue2478,Excel
76,name,name1277,Web,complete,insertValue,2019-03-07T10:02:26.534+11:00,surname,surname1277,Web,complete,insertValue,2019-03-07T10:02:30.797+11:00,age,25,Web,complete,insertValue,2019-03-07T10:02:41.655+11:00,1,type,Web,complete,insertValue,2019-03-07T10:02:55.259+11:00,B1,Web,complete,clickButton,2019-03-07T10:03:02.166+11:00,insertValue,B,2727,Excel,11,complete,2019-03-07T10:03:05.550+11:00,Web,complete,goToUrl,2019-03-07T10:03:09.610+11:00,www.webpage2.com,value2,value2727,Web,complete,copy,2019-03-07T10:03:22.094+11:00,paste,C,vaue2727,Excel,2
77,name,name2681,Web,complete,insertValue,2019-03-07T10:03:37.724+11:00,surname,surname2681,Web,complete,insertValue,2019-03-07T10:03:53.968+11:00,age,18,Web,complete,insertValue,2019-03-07T10:04:01.793+11:00,3,type,Web,complete,insertValue,2019-03-07T10:04:03.815+11:00,B4,Web,complete,clickButton,2019-03-07T10:04:10.464+11:00,Excel,complete,openFile,Sheet1,2019-03-07T10:04:14.578+11:00,data123.xls,2387,Excel,complete,findValue,FALSE,2019-03-07T10:04:17.547+11:00,copy,B,value2681,Excel,1,complete,2019-03-07T10:04:21.361+11:00,paste,C,vaue2681,Excel
78,name,name8,Web,complete,insertValue,2019-03-07T10:04:35.706+11:00,surname,surname8,Web,complete,insertValue,2019-03-07T10:04:38.722+11:00,age,18,Web,complete,insertValue,2019-03-07T10:04:43.427+11:00,2,type,Web,complete,insertValue,2019-03-07T10:04:51.359+11:00,B1,Web,complete,clickButton,2019-03-07T10:05:00.712+11:00,insertValue,B,4585,Excel,26,complete,2019-03-07T10:05:03.780+11:00,Web,complete,goToUrl,2019-03-07T10:05:14.207+11:00,www.webpage2.com,value2,value4585,Web,complete,copy,2019-03-07T10:05:21.951+11:00,finalCode,vaue4585,Web,complete,paste
79,name,name1844,Web,complete,insertValue,2019-03-07T10:05:37.210+11:00,surname,surname1844,Web,complete,insertValue,2019-03-07T10:05:47.174+11:00,age,23,Web,complete,insertValue,2019-03-07T10:05:54.858+11:00,1,type,Web,complete,insertValue,2019-03-07T10:06:03.617+11:00,B1,Web,complete,clickButton,2019-03-07T10:06:17.559+11:00,insertValue,B,1503,Excel,14,complete,2019-03-07T10:06:21.979+11:00,Web,complete,goToUrl,2019-03-07T10:06:39.652+11:00,www.webpage2.com,value2,value1503,Web,complete,copy,2019-03-07T10:06:43.247+11:00,finalCode,vaue1503,Web,complete,paste
80,name,name1881,Web,complete,insertValue,2019-03-07T10:06:58.831+11:00,surname,surname1881,Web,complete,insertValue,2019-03-07T10:07:07.861+11:00,age,19,Web,complete,insertValue,2019-03-07T10:07:17.385+11:00,2,type,Web,complete,insertValue,2019-03-07T10:07:22.417+11:00,B1,Web,complete,clickButton,2019-03-07T10:07:32.360+11:00,insertValue,B,4075,Excel,20,complete,2019-03-07T10:07:35.510+11:00,Web,complete,goToUrl,2019-03-07T10:07:36.923+11:00,www.webpage2.com,value2,value4075,Web,complete,copy,2019-03-07T10:07:42.095+11:00,paste,C,vaue4075,Excel,2
