Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
36,Clients,Web,complete,clickButton,2019-03-05T12:23:32.341+11:00,clientID,ID411,Web,complete,insertValue,2019-03-05T12:23:35.910+11:00,Web,complete,pressKey,2019-03-05T12:23:39.677+11:00,enter,update,ID411,Web,complete,clickButton,2019-03-05T12:23:44.137+11:00,address,addA968addB362,Web,complete,insertValue,2019-03-05T12:23:48.286+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:23:56.724+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:24:03.475+11:00,ID411,address,addB362,Web,complete,copy,2019-03-05T12:24:04.700+11:00,paste,A,addB362,Excel,5,complete,2019-03-05T12:24:18.273+11:00,save,Excel,complete,saveFile,2019-03-05T12:24:21.734+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:24:24.468+11:00
37,Clients,Web,complete,clickButton,2019-03-05T12:24:38.257+11:00,clientID,ID1248,Web,complete,insertValue,2019-03-05T12:24:42.978+11:00,Web,complete,pressKey,2019-03-05T12:24:45.255+11:00,enter,update,ID1248,Web,complete,clickButton,2019-03-05T12:24:47.368+11:00,address,addA481addB1945,Web,complete,insertValue,2019-03-05T12:24:51.442+11:00,Country178,country,Web,complete,insertValue,2019-03-05T12:24:55.618+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:25:04.367+11:00,OK,Web,complete,clickButton,2019-03-05T12:25:08.141+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:25:12.384+11:00,,,,,,,,,,,,,,,
38,Clients,Web,complete,clickButton,2019-03-05T12:25:25.555+11:00,clientID,ID1688,Web,complete,insertValue,2019-03-05T12:25:29.323+11:00,Web,complete,pressKey,2019-03-05T12:25:39.907+11:00,enter,update,ID1688,Web,complete,clickButton,2019-03-05T12:25:41.831+11:00,address,addA1700addB1957,Web,complete,insertValue,2019-03-05T12:25:44.895+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:25:48.960+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:25:59.581+11:00,ID1688,address,addB1957,Web,complete,copy,2019-03-05T12:26:10.198+11:00,paste,A,addB1957,Excel,5,complete,2019-03-05T12:26:15.556+11:00,save,Excel,complete,saveFile,2019-03-05T12:26:18.301+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:26:21.086+11:00
39,Clients,Web,complete,clickButton,2019-03-05T12:26:34.458+11:00,clientID,ID1831,Web,complete,insertValue,2019-03-05T12:26:36.582+11:00,Web,complete,pressKey,2019-03-05T12:26:36.582+11:00,enter,update,ID1831,Web,complete,clickButton,2019-03-05T12:26:38.824+11:00,address,addA1854addB65,Web,complete,insertValue,2019-03-05T12:26:42.861+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:26:53.864+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:27:02.839+11:00,ID1831,address,addB65,Web,complete,copy,2019-03-05T12:27:16.091+11:00,paste,A,addB65,Excel,5,complete,2019-03-05T12:27:32.498+11:00,save,Excel,complete,saveFile,2019-03-05T12:27:36.688+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:27:41.192+11:00
40,Clients,Web,complete,clickButton,2019-03-05T12:27:53.380+11:00,clientID,ID1524,Web,complete,insertValue,2019-03-05T12:27:55.840+11:00,Web,complete,pressKey,2019-03-05T12:28:04.741+11:00,enter,update,ID1524,Web,complete,clickButton,2019-03-05T12:28:07.834+11:00,address,addA1240addB1529,Web,complete,insertValue,2019-03-05T12:28:10.183+11:00,Country84,country,Web,complete,insertValue,2019-03-05T12:28:22.106+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:28:32.099+11:00,OK,Web,complete,clickButton,2019-03-05T12:28:35.783+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:28:39.229+11:00,,,,,,,,,,,,,,,
41,Clients,Web,complete,clickButton,2019-03-05T12:28:51.891+11:00,clientID,ID1653,Web,complete,insertValue,2019-03-05T12:28:53.546+11:00,Web,complete,pressKey,2019-03-05T12:29:07.944+11:00,enter,update,ID1653,Web,complete,clickButton,2019-03-05T12:29:09.147+11:00,address,addA1311addB1005,Web,complete,insertValue,2019-03-05T12:29:12.682+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:29:31.338+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:29:41.839+11:00,ID1653,address,addB1005,Web,complete,copy,2019-03-05T12:29:51.480+11:00,paste,A,addB1005,Excel,5,complete,2019-03-05T12:30:04.222+11:00,save,Excel,complete,saveFile,2019-03-05T12:30:07.050+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:30:09.131+11:00
42,Clients,Web,complete,clickButton,2019-03-05T12:30:21.801+11:00,clientID,ID318,Web,complete,insertValue,2019-03-05T12:30:26.153+11:00,Web,complete,pressKey,2019-03-05T12:30:34.540+11:00,enter,update,ID318,Web,complete,clickButton,2019-03-05T12:30:38.010+11:00,address,addA775addB343,Web,complete,insertValue,2019-03-05T12:30:41.180+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:30:41.180+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:30:46.420+11:00,ID318,address,addB343,Web,complete,copy,2019-03-05T12:30:46.420+11:00,paste,A,addB343,Excel,5,complete,2019-03-05T12:30:55.884+11:00,save,Excel,complete,saveFile,2019-03-05T12:31:00.495+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:31:03.512+11:00
43,Clients,Web,complete,clickButton,2019-03-05T12:31:16.260+11:00,clientID,ID615,Web,complete,insertValue,2019-03-05T12:31:18.643+11:00,Web,complete,pressKey,2019-03-05T12:31:26.723+11:00,enter,update,ID615,Web,complete,clickButton,2019-03-05T12:31:27.301+11:00,address,addA159addB1468,Web,complete,insertValue,2019-03-05T12:31:30.224+11:00,Country108,country,Web,complete,insertValue,2019-03-05T12:31:35.978+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:31:40.874+11:00,OK,Web,complete,clickButton,2019-03-05T12:31:44.468+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:31:47.613+11:00,,,,,,,,,,,,,,,
44,Clients,Web,complete,clickButton,2019-03-05T12:31:59.963+11:00,clientID,ID681,Web,complete,insertValue,2019-03-05T12:32:03.673+11:00,Web,complete,pressKey,2019-03-05T12:32:08.720+11:00,enter,update,ID681,Web,complete,clickButton,2019-03-05T12:32:12.833+11:00,address,addA1733addB1263,Web,complete,insertValue,2019-03-05T12:32:15.972+11:00,Country133,country,Web,complete,insertValue,2019-03-05T12:32:20.951+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:32:30.052+11:00,OK,Web,complete,clickButton,2019-03-05T12:32:34.697+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:32:37.641+11:00,,,,,,,,,,,,,,,
45,Clients,Web,complete,clickButton,2019-03-05T12:32:50.203+11:00,clientID,ID1030,Web,complete,insertValue,2019-03-05T12:32:52.546+11:00,Web,complete,pressKey,2019-03-05T12:32:58.397+11:00,enter,update,ID1030,Web,complete,clickButton,2019-03-05T12:33:02.028+11:00,address,addA1081addB1059,Web,complete,insertValue,2019-03-05T12:33:04.432+11:00,Country88,country,Web,complete,insertValue,2019-03-05T12:33:14.855+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:33:23.389+11:00,OK,Web,complete,clickButton,2019-03-05T12:33:25.403+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:33:28.593+11:00,,,,,,,,,,,,,,,
46,Clients,Web,complete,clickButton,2019-03-05T12:33:40.787+11:00,clientID,ID181,Web,complete,insertValue,2019-03-05T12:33:42.563+11:00,Web,complete,pressKey,2019-03-05T12:33:55.322+11:00,enter,update,ID181,Web,complete,clickButton,2019-03-05T12:33:58.750+11:00,address,addA1088addB1395,Web,complete,insertValue,2019-03-05T12:34:01.869+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:34:07.330+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:34:11.820+11:00,ID181,address,addB1395,Web,complete,copy,2019-03-05T12:34:21.797+11:00,paste,A,addB1395,Excel,5,complete,2019-03-05T12:34:30.862+11:00,save,Excel,complete,saveFile,2019-03-05T12:34:33.518+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:34:34.232+11:00
47,Clients,Web,complete,clickButton,2019-03-05T12:34:46.999+11:00,clientID,ID989,Web,complete,insertValue,2019-03-05T12:34:51.793+11:00,Web,complete,pressKey,2019-03-05T12:35:01.939+11:00,enter,update,ID989,Web,complete,clickButton,2019-03-05T12:35:04.942+11:00,address,addA1132addB74,Web,complete,insertValue,2019-03-05T12:35:06.144+11:00,Country84,country,Web,complete,insertValue,2019-03-05T12:35:16.762+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:35:31.547+11:00,OK,Web,complete,clickButton,2019-03-05T12:35:33.642+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:35:36.342+11:00,,,,,,,,,,,,,,,
48,Clients,Web,complete,clickButton,2019-03-05T12:35:49.031+11:00,clientID,ID907,Web,complete,insertValue,2019-03-05T12:35:51.069+11:00,Web,complete,pressKey,2019-03-05T12:36:10.411+11:00,enter,update,ID907,Web,complete,clickButton,2019-03-05T12:36:14.632+11:00,address,addA956addB1837,Web,complete,insertValue,2019-03-05T12:36:18.506+11:00,Country118,country,Web,complete,insertValue,2019-03-05T12:36:27.453+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:36:40.130+11:00,OK,Web,complete,clickButton,2019-03-05T12:36:46.561+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:36:48.934+11:00,,,,,,,,,,,,,,,
49,Clients,Web,complete,clickButton,2019-03-05T12:37:01.904+11:00,clientID,ID1775,Web,complete,insertValue,2019-03-05T12:37:04.351+11:00,Web,complete,pressKey,2019-03-05T12:37:11.293+11:00,enter,update,ID1775,Web,complete,clickButton,2019-03-05T12:37:13.708+11:00,address,addA1145addB1703,Web,complete,insertValue,2019-03-05T12:37:17.800+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:37:29.158+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:37:37.144+11:00,ID1775,address,addB1703,Web,complete,copy,2019-03-05T12:37:50.831+11:00,paste,A,addB1703,Excel,5,complete,2019-03-05T12:37:56.561+11:00,save,Excel,complete,saveFile,2019-03-05T12:37:59.074+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:38:01.911+11:00
50,Clients,Web,complete,clickButton,2019-03-05T12:38:14.870+11:00,clientID,ID1594,Web,complete,insertValue,2019-03-05T12:38:18.388+11:00,Web,complete,pressKey,2019-03-05T12:38:25.690+11:00,enter,update,ID1594,Web,complete,clickButton,2019-03-05T12:38:27.703+11:00,address,addA1185addB1046,Web,complete,insertValue,2019-03-05T12:38:30.404+11:00,Country69,country,Web,complete,insertValue,2019-03-05T12:38:40.307+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:38:44.343+11:00,OK,Web,complete,clickButton,2019-03-05T12:38:47.493+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:38:49.340+11:00,,,,,,,,,,,,,,,
51,Clients,Web,complete,clickButton,2019-03-05T12:39:02.623+11:00,clientID,ID885,Web,complete,insertValue,2019-03-05T12:39:05.404+11:00,Web,complete,pressKey,2019-03-05T12:39:14.961+11:00,enter,update,ID885,Web,complete,clickButton,2019-03-05T12:39:17.804+11:00,address,addA917addB365,Web,complete,insertValue,2019-03-05T12:39:21.629+11:00,Country123,country,Web,complete,insertValue,2019-03-05T12:39:21.629+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:39:26.709+11:00,OK,Web,complete,clickButton,2019-03-05T12:39:30.762+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:39:33.615+11:00,,,,,,,,,,,,,,,
52,Clients,Web,complete,clickButton,2019-03-05T12:39:45.979+11:00,clientID,ID1540,Web,complete,insertValue,2019-03-05T12:39:48.175+11:00,Web,complete,pressKey,2019-03-05T12:39:48.175+11:00,enter,update,ID1540,Web,complete,clickButton,2019-03-05T12:39:53.013+11:00,address,addA1473addB1740,Web,complete,insertValue,2019-03-05T12:39:54.183+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:40:00.492+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:40:09.253+11:00,ID1540,address,addB1740,Web,complete,copy,2019-03-05T12:40:09.253+11:00,paste,A,addB1740,Excel,5,complete,2019-03-05T12:40:09.263+11:00,save,Excel,complete,saveFile,2019-03-05T12:40:13.281+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:40:16.600+11:00
53,Clients,Web,complete,clickButton,2019-03-05T12:40:29.976+11:00,clientID,ID555,Web,complete,insertValue,2019-03-05T12:40:33.853+11:00,Web,complete,pressKey,2019-03-05T12:40:51.557+11:00,enter,update,ID555,Web,complete,clickButton,2019-03-05T12:40:55.518+11:00,address,addA1494addB1160,Web,complete,insertValue,2019-03-05T12:40:58.165+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:41:06.111+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:41:06.111+11:00,ID555,address,addB1160,Web,complete,copy,2019-03-05T12:41:16.914+11:00,paste,A,addB1160,Excel,5,complete,2019-03-05T12:41:19.242+11:00,save,Excel,complete,saveFile,2019-03-05T12:41:22.665+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:41:26.368+11:00
54,Clients,Web,complete,clickButton,2019-03-05T12:41:37.712+11:00,clientID,ID712,Web,complete,insertValue,2019-03-05T12:41:42.239+11:00,Web,complete,pressKey,2019-03-05T12:41:52.730+11:00,enter,update,ID712,Web,complete,clickButton,2019-03-05T12:41:53.917+11:00,address,addA841addB130,Web,complete,insertValue,2019-03-05T12:41:57.824+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:42:12.011+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:42:23.847+11:00,ID712,address,addB130,Web,complete,copy,2019-03-05T12:42:33.407+11:00,paste,A,addB130,Excel,5,complete,2019-03-05T12:42:33.407+11:00,save,Excel,complete,saveFile,2019-03-05T12:42:36.211+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:42:39.394+11:00
55,Clients,Web,complete,clickButton,2019-03-05T12:42:53.153+11:00,clientID,ID1036,Web,complete,insertValue,2019-03-05T12:42:56.802+11:00,Web,complete,pressKey,2019-03-05T12:43:01.532+11:00,enter,update,ID1036,Web,complete,clickButton,2019-03-05T12:43:03.675+11:00,address,addA133addB852,Web,complete,insertValue,2019-03-05T12:43:08.577+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:43:19.657+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:43:35.753+11:00,ID1036,address,addB852,Web,complete,copy,2019-03-05T12:43:46.809+11:00,paste,A,addB852,Excel,5,complete,2019-03-05T12:43:49.142+11:00,save,Excel,complete,saveFile,2019-03-05T12:43:52.228+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:43:54.887+11:00
56,Clients,Web,complete,clickButton,2019-03-05T12:44:08.147+11:00,clientID,ID342,Web,complete,insertValue,2019-03-05T12:44:10.215+11:00,Web,complete,pressKey,2019-03-05T12:44:13.200+11:00,enter,update,ID342,Web,complete,clickButton,2019-03-05T12:44:16.957+11:00,address,addA10addB1069,Web,complete,insertValue,2019-03-05T12:44:21.069+11:00,Country38,country,Web,complete,insertValue,2019-03-05T12:44:27.532+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:44:35.654+11:00,OK,Web,complete,clickButton,2019-03-05T12:44:38.651+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:44:42.260+11:00,,,,,,,,,,,,,,,
57,Clients,Web,complete,clickButton,2019-03-05T12:44:55.372+11:00,clientID,ID32,Web,complete,insertValue,2019-03-05T12:45:00.113+11:00,Web,complete,pressKey,2019-03-05T12:45:01.766+11:00,enter,update,ID32,Web,complete,clickButton,2019-03-05T12:45:03.755+11:00,address,addA1659addB1864,Web,complete,insertValue,2019-03-05T12:45:06.344+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:45:10.245+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:45:25.143+11:00,ID32,address,addB1864,Web,complete,copy,2019-03-05T12:45:29.966+11:00,paste,A,addB1864,Excel,5,complete,2019-03-05T12:45:31.299+11:00,save,Excel,complete,saveFile,2019-03-05T12:45:33.752+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:45:36.881+11:00
58,Clients,Web,complete,clickButton,2019-03-05T12:45:51.687+11:00,clientID,ID1591,Web,complete,insertValue,2019-03-05T12:45:52.619+11:00,Web,complete,pressKey,2019-03-05T12:46:04.893+11:00,enter,update,ID1591,Web,complete,clickButton,2019-03-05T12:46:07.070+11:00,address,addA630addB1935,Web,complete,insertValue,2019-03-05T12:46:11.034+11:00,Country40,country,Web,complete,insertValue,2019-03-05T12:46:23.816+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:46:34.642+11:00,OK,Web,complete,clickButton,2019-03-05T12:46:37.857+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:46:43.129+11:00,,,,,,,,,,,,,,,
59,Clients,Web,complete,clickButton,2019-03-05T12:46:56.019+11:00,clientID,ID175,Web,complete,insertValue,2019-03-05T12:46:59.026+11:00,Web,complete,pressKey,2019-03-05T12:47:08.839+11:00,enter,update,ID175,Web,complete,clickButton,2019-03-05T12:47:13.060+11:00,address,addA621addB790,Web,complete,insertValue,2019-03-05T12:47:15.643+11:00,Country31,country,Web,complete,insertValue,2019-03-05T12:47:24.049+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:47:27.643+11:00,OK,Web,complete,clickButton,2019-03-05T12:47:30.321+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:47:32.364+11:00,,,,,,,,,,,,,,,
60,Clients,Web,complete,clickButton,2019-03-05T12:47:46.289+11:00,clientID,ID330,Web,complete,insertValue,2019-03-05T12:47:49.628+11:00,Web,complete,pressKey,2019-03-05T12:48:03.512+11:00,enter,update,ID330,Web,complete,clickButton,2019-03-05T12:48:05.104+11:00,address,addA1579addB385,Web,complete,insertValue,2019-03-05T12:48:07.437+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:48:11.143+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:48:19.819+11:00,ID330,address,addB385,Web,complete,copy,2019-03-05T12:48:21.918+11:00,paste,A,addB385,Excel,5,complete,2019-03-05T12:48:21.918+11:00,save,Excel,complete,saveFile,2019-03-05T12:48:22.679+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:48:26.571+11:00
61,Clients,Web,complete,clickButton,2019-03-05T12:48:40.392+11:00,clientID,ID489,Web,complete,insertValue,2019-03-05T12:48:41.724+11:00,Web,complete,pressKey,2019-03-05T12:48:44.298+11:00,enter,update,ID489,Web,complete,clickButton,2019-03-05T12:48:47.147+11:00,address,addA1148addB1642,Web,complete,insertValue,2019-03-05T12:48:49.958+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:49:02.356+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:49:07.955+11:00,ID489,address,addB1642,Web,complete,copy,2019-03-05T12:49:17.705+11:00,paste,A,addB1642,Excel,5,complete,2019-03-05T12:49:27.770+11:00,save,Excel,complete,saveFile,2019-03-05T12:49:31.590+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:49:34.818+11:00
62,Clients,Web,complete,clickButton,2019-03-05T12:49:46.789+11:00,clientID,ID1179,Web,complete,insertValue,2019-03-05T12:49:50.079+11:00,Web,complete,pressKey,2019-03-05T12:49:56.833+11:00,enter,update,ID1179,Web,complete,clickButton,2019-03-05T12:49:59.871+11:00,address,addA1860addB1086,Web,complete,insertValue,2019-03-05T12:50:01.495+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:50:07.497+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:50:13.583+11:00,ID1179,address,addB1086,Web,complete,copy,2019-03-05T12:50:13.931+11:00,paste,A,addB1086,Excel,5,complete,2019-03-05T12:50:21.966+11:00,save,Excel,complete,saveFile,2019-03-05T12:50:26.254+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:50:28.007+11:00
63,Clients,Web,complete,clickButton,2019-03-05T12:50:41.335+11:00,clientID,ID460,Web,complete,insertValue,2019-03-05T12:50:45.498+11:00,Web,complete,pressKey,2019-03-05T12:50:45.498+11:00,enter,update,ID460,Web,complete,clickButton,2019-03-05T12:50:47.990+11:00,address,addA1050addB848,Web,complete,insertValue,2019-03-05T12:50:49.541+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:50:55.908+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:51:05.464+11:00,ID460,address,addB848,Web,complete,copy,2019-03-05T12:51:12.198+11:00,paste,A,addB848,Excel,5,complete,2019-03-05T12:51:32.134+11:00,save,Excel,complete,saveFile,2019-03-05T12:51:35.389+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:51:39.497+11:00
64,Clients,Web,complete,clickButton,2019-03-05T12:51:52.546+11:00,clientID,ID1048,Web,complete,insertValue,2019-03-05T12:51:55.550+11:00,Web,complete,pressKey,2019-03-05T12:52:02.834+11:00,enter,update,ID1048,Web,complete,clickButton,2019-03-05T12:52:06.629+11:00,address,addA1381addB1768,Web,complete,insertValue,2019-03-05T12:52:11.358+11:00,Country145,country,Web,complete,insertValue,2019-03-05T12:52:20.616+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:52:24.118+11:00,OK,Web,complete,clickButton,2019-03-05T12:52:27.574+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:52:31.103+11:00,,,,,,,,,,,,,,,
