Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
47,value1,value1697,Web,complete,insertValue,2019-03-05T12:18:33.194+11:00,code,21,Web,complete,insertValue,2019-03-05T12:18:41.025+11:00,B6,Web,complete,clickButton,2019-03-05T12:18:49.535+11:00,Web,complete,goToUrl,2019-03-05T12:18:53.107+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:19:01.828+11:00,code,21,Web,complete,copy,2019-03-05T12:19:05.150+11:00,paste,B,name,21,Excel,268,complete,2019-03-05T12:19:07.583+11:00,add,Web,complete,clickButton,2019-03-05T12:19:10.764+11:00,OK,Web
48,value1,value1634,Web,complete,insertValue,2019-03-05T12:19:22.418+11:00,code,21,Web,complete,insertValue,2019-03-05T12:19:41.126+11:00,B7,Web,complete,clickButton,2019-03-05T12:19:56.878+11:00,Web,complete,goToUrl,2019-03-05T12:19:59.647+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:20:03.285+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:20:06.596+11:00,data123.xls,code,21,Web,complete,copy,2019-03-05T12:20:08.750+11:00,paste,B,name,21,Excel,1648,complete,2019-03-05T12:20:11.524+11:00,cancel
49,value1,value117,Web,complete,insertValue,2019-03-05T12:20:27.157+11:00,code,19,Web,complete,insertValue,2019-03-05T12:20:35.481+11:00,B7,Web,complete,clickButton,2019-03-05T12:20:39.115+11:00,Web,complete,goToUrl,2019-03-05T12:20:42.833+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:20:54.609+11:00,code,19,Web,complete,copy,2019-03-05T12:20:58.540+11:00,paste,B,name,19,Excel,879,complete,2019-03-05T12:21:02.293+11:00,Web,complete,goToUrl,2019-03-05T12:21:05.312+11:00,www.webpage.com,OK,Web
50,value1,value1665,Web,complete,insertValue,2019-03-05T12:21:15.312+11:00,code,29,Web,complete,insertValue,2019-03-05T12:21:23.890+11:00,B7,Web,complete,clickButton,2019-03-05T12:21:31.268+11:00,Web,complete,goToUrl,2019-03-05T12:21:34.186+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:21:39.595+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:21:43.844+11:00,data123.xls,code,29,Web,complete,copy,2019-03-05T12:21:48.282+11:00,paste,B,name,29,Excel,182,complete,2019-03-05T12:21:51.515+11:00,Web
51,value1,value958,Web,complete,insertValue,2019-03-05T12:22:04.998+11:00,code,19,Web,complete,insertValue,2019-03-05T12:22:12.827+11:00,B7,Web,complete,clickButton,2019-03-05T12:22:15.986+11:00,open,Web,complete,clickButton,2019-03-05T12:22:18.969+11:00,code,19,Web,complete,copy,2019-03-05T12:22:22.976+11:00,paste,B,name,19,Excel,587,complete,2019-03-05T12:22:24.805+11:00,cancel,Web,complete,clickButton,2019-03-05T12:22:28.445+11:00,OK,Web,complete,clickButton,2019-03-05T12:22:31.339+11:00,,
52,value1,value1708,Web,complete,insertValue,2019-03-05T12:22:41.339+11:00,code,34,Web,complete,insertValue,2019-03-05T12:22:55.013+11:00,B7,Web,complete,clickButton,2019-03-05T12:23:11.030+11:00,Web,complete,goToUrl,2019-03-05T12:23:15.148+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:23:36.787+11:00,code,34,Web,complete,copy,2019-03-05T12:23:39.356+11:00,paste,B,name,34,Excel,1086,complete,2019-03-05T12:23:42.063+11:00,cancel,Web,complete,clickButton,2019-03-05T12:23:44.059+11:00,OK,Web
53,value1,value101,Web,complete,insertValue,2019-03-05T12:23:57.961+11:00,code,22,Web,complete,insertValue,2019-03-05T12:24:08.491+11:00,B7,Web,complete,clickButton,2019-03-05T12:24:13.098+11:00,open,Web,complete,clickButton,2019-03-05T12:24:15.646+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:24:18.410+11:00,data123.xls,name1037,Excel,complete,findValue,FALSE,2019-03-05T12:24:21.693+11:00,add,Web,complete,clickButton,2019-03-05T12:24:24.352+11:00,OK,Web,complete,clickButton,2019-03-05T12:24:28.599+11:00,,,,
54,value1,value1387,Web,complete,insertValue,2019-03-05T12:24:38.599+11:00,code,25,Web,complete,insertValue,2019-03-05T12:24:46.731+11:00,B6,Web,complete,clickButton,2019-03-05T12:24:47.487+11:00,Web,complete,goToUrl,2019-03-05T12:24:50.492+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:24:50.492+11:00,code,25,Web,complete,copy,2019-03-05T12:24:53.491+11:00,paste,B,name,25,Excel,326,complete,2019-03-05T12:24:54.266+11:00,Web,complete,goToUrl,2019-03-05T12:24:57.038+11:00,www.webpage.com,OK,Web
55,value1,value766,Web,complete,insertValue,2019-03-05T12:25:15.200+11:00,code,27,Web,complete,insertValue,2019-03-05T12:25:24.900+11:00,B6,Web,complete,clickButton,2019-03-05T12:25:29.767+11:00,open,Web,complete,clickButton,2019-03-05T12:25:32.769+11:00,code,27,Web,complete,copy,2019-03-05T12:25:36.877+11:00,paste,B,name,27,Excel,248,complete,2019-03-05T12:25:38.322+11:00,cancel,Web,complete,clickButton,2019-03-05T12:25:41.964+11:00,OK,Web,complete,clickButton,2019-03-05T12:25:45.355+11:00,,
56,value1,value1906,Web,complete,insertValue,2019-03-05T12:25:55.355+11:00,code,24,Web,complete,insertValue,2019-03-05T12:26:00.962+11:00,B7,Web,complete,clickButton,2019-03-05T12:26:07.545+11:00,open,Web,complete,clickButton,2019-03-05T12:26:11.051+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:26:15.893+11:00,data123.xls,name1646,Excel,complete,findValue,TRUE,2019-03-05T12:26:18.099+11:00,add,Web,complete,clickButton,2019-03-05T12:26:21.118+11:00,OK,Web,complete,clickButton,2019-03-05T12:26:23.866+11:00,,,,
57,value1,value1203,Web,complete,insertValue,2019-03-05T12:26:33.866+11:00,code,28,Web,complete,insertValue,2019-03-05T12:26:42.047+11:00,B6,Web,complete,clickButton,2019-03-05T12:26:50.470+11:00,Web,complete,goToUrl,2019-03-05T12:26:54.439+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:27:06.054+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:27:08.373+11:00,data123.xls,name574,Excel,complete,findValue,FALSE,2019-03-05T12:27:11.230+11:00,cancel,Web,complete,clickButton,2019-03-05T12:27:13.295+11:00,OK,Web,complete,clickButton
58,value1,value693,Web,complete,insertValue,2019-03-05T12:27:25.556+11:00,code,26,Web,complete,insertValue,2019-03-05T12:27:36.493+11:00,B6,Web,complete,clickButton,2019-03-05T12:27:48.382+11:00,open,Web,complete,clickButton,2019-03-05T12:27:52.735+11:00,code,26,Web,complete,copy,2019-03-05T12:27:56.255+11:00,paste,B,name,26,Excel,830,complete,2019-03-05T12:27:58.464+11:00,Web,complete,goToUrl,2019-03-05T12:28:02.264+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:28:12.995+11:00,,
59,value1,value88,Web,complete,insertValue,2019-03-05T12:28:22.995+11:00,code,27,Web,complete,insertValue,2019-03-05T12:28:32.002+11:00,B7,Web,complete,clickButton,2019-03-05T12:28:39.773+11:00,open,Web,complete,clickButton,2019-03-05T12:28:41.758+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:28:45.983+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T12:28:48.275+11:00,paste,B,name,27,Excel,1598,complete,2019-03-05T12:28:51.123+11:00,cancel,Web,complete,clickButton,2019-03-05T12:28:53.786+11:00,OK
60,value1,value1317,Web,complete,insertValue,2019-03-05T12:29:08.373+11:00,code,23,Web,complete,insertValue,2019-03-05T12:29:17.160+11:00,B6,Web,complete,clickButton,2019-03-05T12:29:18.492+11:00,open,Web,complete,clickButton,2019-03-05T12:29:21.498+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:29:24.920+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T12:29:28.365+11:00,paste,B,name,23,Excel,608,complete,2019-03-05T12:29:31.318+11:00,Web,complete,goToUrl,2019-03-05T12:29:35.298+11:00,www.webpage.com,OK
61,value1,value857,Web,complete,insertValue,2019-03-05T12:29:46.876+11:00,code,25,Web,complete,insertValue,2019-03-05T12:30:01.187+11:00,B6,Web,complete,clickButton,2019-03-05T12:30:09.423+11:00,Web,complete,goToUrl,2019-03-05T12:30:13.591+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:30:20.226+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:30:20.655+11:00,data123.xls,name1523,Excel,complete,findValue,TRUE,2019-03-05T12:30:22.239+11:00,add,Web,complete,clickButton,2019-03-05T12:30:24.871+11:00,OK,Web,complete,clickButton
62,value1,value734,Web,complete,insertValue,2019-03-05T12:30:38.087+11:00,code,21,Web,complete,insertValue,2019-03-05T12:30:48.002+11:00,B6,Web,complete,clickButton,2019-03-05T12:30:50.907+11:00,Web,complete,goToUrl,2019-03-05T12:30:54.013+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:30:59.863+11:00,code,21,Web,complete,copy,2019-03-05T12:31:01.982+11:00,paste,B,name,21,Excel,1737,complete,2019-03-05T12:31:06.154+11:00,cancel,Web,complete,clickButton,2019-03-05T12:31:10.100+11:00,OK,Web
63,value1,value581,Web,complete,insertValue,2019-03-05T12:31:22.333+11:00,code,18,Web,complete,insertValue,2019-03-05T12:31:31.666+11:00,B7,Web,complete,clickButton,2019-03-05T12:31:37.798+11:00,open,Web,complete,clickButton,2019-03-05T12:31:39.446+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:31:42.554+11:00,data123.xls,name606,Excel,complete,findValue,TRUE,2019-03-05T12:31:43.686+11:00,cancel,Web,complete,clickButton,2019-03-05T12:31:47.361+11:00,OK,Web,complete,clickButton,2019-03-05T12:31:51.855+11:00,,,,
64,value1,value1116,Web,complete,insertValue,2019-03-05T12:32:01.855+11:00,code,20,Web,complete,insertValue,2019-03-05T12:32:08.204+11:00,B7,Web,complete,clickButton,2019-03-05T12:32:11.830+11:00,open,Web,complete,clickButton,2019-03-05T12:32:15.505+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:32:19.045+11:00,data123.xls,name1390,Excel,complete,findValue,TRUE,2019-03-05T12:32:23.295+11:00,Web,complete,goToUrl,2019-03-05T12:32:25.477+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:32:30.326+11:00,,,,
65,value1,value1473,Web,complete,insertValue,2019-03-05T12:32:40.326+11:00,code,24,Web,complete,insertValue,2019-03-05T12:32:44.491+11:00,B6,Web,complete,clickButton,2019-03-05T12:32:55.592+11:00,open,Web,complete,clickButton,2019-03-05T12:32:59.383+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:33:02.216+11:00,data123.xls,name1389,Excel,complete,findValue,TRUE,2019-03-05T12:33:06.054+11:00,Web,complete,goToUrl,2019-03-05T12:33:09.409+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:33:14.243+11:00,,,,
66,value1,value878,Web,complete,insertValue,2019-03-05T12:33:24.243+11:00,code,28,Web,complete,insertValue,2019-03-05T12:33:33.345+11:00,B7,Web,complete,clickButton,2019-03-05T12:33:39.892+11:00,open,Web,complete,clickButton,2019-03-05T12:33:43.911+11:00,code,28,Web,complete,copy,2019-03-05T12:33:47.131+11:00,paste,B,name,28,Excel,1385,complete,2019-03-05T12:33:50.098+11:00,Web,complete,goToUrl,2019-03-05T12:33:52.649+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:34:05.325+11:00,,
67,value1,value397,Web,complete,insertValue,2019-03-05T12:34:15.325+11:00,code,41,Web,complete,insertValue,2019-03-05T12:34:25.043+11:00,B7,Web,complete,clickButton,2019-03-05T12:34:35.813+11:00,open,Web,complete,clickButton,2019-03-05T12:34:39.006+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:34:42.211+11:00,data123.xls,name1622,Excel,complete,findValue,FALSE,2019-03-05T12:34:43.399+11:00,add,Web,complete,clickButton,2019-03-05T12:34:46.181+11:00,OK,Web,complete,clickButton,2019-03-05T12:34:48.858+11:00,,,,
68,value1,value596,Web,complete,insertValue,2019-03-05T12:34:58.858+11:00,code,20,Web,complete,insertValue,2019-03-05T12:35:14.214+11:00,B7,Web,complete,clickButton,2019-03-05T12:35:28.901+11:00,open,Web,complete,clickButton,2019-03-05T12:35:30.187+11:00,code,20,Web,complete,copy,2019-03-05T12:35:33.912+11:00,paste,B,name,20,Excel,1100,complete,2019-03-05T12:35:36.811+11:00,Web,complete,goToUrl,2019-03-05T12:35:40.624+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:35:47.141+11:00,,
69,value1,value242,Web,complete,insertValue,2019-03-05T12:35:57.141+11:00,code,33,Web,complete,insertValue,2019-03-05T12:35:57.371+11:00,B6,Web,complete,clickButton,2019-03-05T12:36:08.183+11:00,open,Web,complete,clickButton,2019-03-05T12:36:11.480+11:00,code,33,Web,complete,copy,2019-03-05T12:36:13.426+11:00,paste,B,name,33,Excel,258,complete,2019-03-05T12:36:17.397+11:00,Web,complete,goToUrl,2019-03-05T12:36:20.897+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:36:24.824+11:00,,
70,value1,value1262,Web,complete,insertValue,2019-03-05T12:36:34.824+11:00,code,19,Web,complete,insertValue,2019-03-05T12:36:36.990+11:00,B7,Web,complete,clickButton,2019-03-05T12:36:40.565+11:00,open,Web,complete,clickButton,2019-03-05T12:36:44.482+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:36:47.026+11:00,data123.xls,name181,Excel,complete,findValue,FALSE,2019-03-05T12:36:52.117+11:00,Web,complete,goToUrl,2019-03-05T12:36:55.233+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:37:01.761+11:00,,,,
71,value1,value1995,Web,complete,insertValue,2019-03-05T12:37:11.761+11:00,code,24,Web,complete,insertValue,2019-03-05T12:37:25.547+11:00,B6,Web,complete,clickButton,2019-03-05T12:37:34.443+11:00,Web,complete,goToUrl,2019-03-05T12:37:38.473+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:37:40.454+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:37:42.270+11:00,data123.xls,name1404,Excel,complete,findValue,TRUE,2019-03-05T12:37:43.418+11:00,cancel,Web,complete,clickButton,2019-03-05T12:37:46.639+11:00,OK,Web,complete,clickButton
72,value1,value1949,Web,complete,insertValue,2019-03-05T12:37:58.580+11:00,code,26,Web,complete,insertValue,2019-03-05T12:38:10.435+11:00,B7,Web,complete,clickButton,2019-03-05T12:38:11.339+11:00,Web,complete,goToUrl,2019-03-05T12:38:13.475+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:38:27.546+11:00,code,26,Web,complete,copy,2019-03-05T12:38:29.336+11:00,paste,B,name,26,Excel,101,complete,2019-03-05T12:38:31.255+11:00,Web,complete,goToUrl,2019-03-05T12:38:33.639+11:00,www.webpage.com,OK,Web
73,value1,value1671,Web,complete,insertValue,2019-03-05T12:38:48.288+11:00,code,33,Web,complete,insertValue,2019-03-05T12:38:53.233+11:00,B6,Web,complete,clickButton,2019-03-05T12:39:05.658+11:00,Web,complete,goToUrl,2019-03-05T12:39:08.624+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:39:20.176+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:39:21.776+11:00,data123.xls,code,33,Web,complete,copy,2019-03-05T12:39:24.124+11:00,paste,B,name,33,Excel,1140,complete,2019-03-05T12:39:27.574+11:00,add
74,value1,value1952,Web,complete,insertValue,2019-03-05T12:39:46.427+11:00,code,23,Web,complete,insertValue,2019-03-05T12:39:53.526+11:00,B6,Web,complete,clickButton,2019-03-05T12:39:59.447+11:00,Web,complete,goToUrl,2019-03-05T12:40:02.314+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:40:07.303+11:00,code,23,Web,complete,copy,2019-03-05T12:40:09.166+11:00,paste,B,name,23,Excel,1472,complete,2019-03-05T12:40:12.222+11:00,Web,complete,goToUrl,2019-03-05T12:40:15.876+11:00,www.webpage.com,OK,Web
75,value1,value1351,Web,complete,insertValue,2019-03-05T12:40:33.721+11:00,code,22,Web,complete,insertValue,2019-03-05T12:40:40.454+11:00,B7,Web,complete,clickButton,2019-03-05T12:40:46.475+11:00,Web,complete,goToUrl,2019-03-05T12:40:48.831+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:40:48.831+11:00,code,22,Web,complete,copy,2019-03-05T12:40:53.368+11:00,paste,B,name,22,Excel,1163,complete,2019-03-05T12:40:57.312+11:00,cancel,Web,complete,clickButton,2019-03-05T12:41:00.899+11:00,OK,Web
76,value1,value907,Web,complete,insertValue,2019-03-05T12:41:13.761+11:00,code,20,Web,complete,insertValue,2019-03-05T12:41:20.032+11:00,B7,Web,complete,clickButton,2019-03-05T12:41:28.028+11:00,open,Web,complete,clickButton,2019-03-05T12:41:29.849+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:41:32.342+11:00,data123.xls,code,20,Web,complete,copy,2019-03-05T12:41:35.631+11:00,paste,B,name,20,Excel,1386,complete,2019-03-05T12:41:40.720+11:00,Web,complete,goToUrl,2019-03-05T12:41:44.897+11:00,www.webpage.com,OK
77,value1,value1393,Web,complete,insertValue,2019-03-05T12:42:10.473+11:00,code,47,Web,complete,insertValue,2019-03-05T12:42:11.461+11:00,B7,Web,complete,clickButton,2019-03-05T12:42:11.894+11:00,Web,complete,goToUrl,2019-03-05T12:42:13.816+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:42:22.051+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:42:25.944+11:00,data123.xls,name1196,Excel,complete,findValue,TRUE,2019-03-05T12:42:27.625+11:00,Web,complete,goToUrl,2019-03-05T12:42:30.138+11:00,www.webpage.com,OK,Web,complete,clickButton
78,value1,value1261,Web,complete,insertValue,2019-03-05T12:42:43.448+11:00,code,22,Web,complete,insertValue,2019-03-05T12:42:48.690+11:00,B6,Web,complete,clickButton,2019-03-05T12:42:56.950+11:00,Web,complete,goToUrl,2019-03-05T12:43:00.322+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:43:08.376+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:43:11.103+11:00,data123.xls,code,22,Web,complete,copy,2019-03-05T12:43:12.795+11:00,paste,B,name,22,Excel,1879,complete,2019-03-05T12:43:15.701+11:00,add
79,value1,value682,Web,complete,insertValue,2019-03-05T12:43:32.846+11:00,code,46,Web,complete,insertValue,2019-03-05T12:43:45.553+11:00,B7,Web,complete,clickButton,2019-03-05T12:43:57.332+11:00,Web,complete,goToUrl,2019-03-05T12:44:01.461+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:44:01.461+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:44:05.647+11:00,data123.xls,name65,Excel,complete,findValue,FALSE,2019-03-05T12:44:07.220+11:00,add,Web,complete,clickButton,2019-03-05T12:44:10.260+11:00,OK,Web,complete,clickButton
80,value1,value146,Web,complete,insertValue,2019-03-05T12:44:22.208+11:00,code,28,Web,complete,insertValue,2019-03-05T12:44:31.469+11:00,B6,Web,complete,clickButton,2019-03-05T12:44:34.631+11:00,open,Web,complete,clickButton,2019-03-05T12:44:38.519+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:44:40.688+11:00,data123.xls,name600,Excel,complete,findValue,TRUE,2019-03-05T12:44:43.031+11:00,add,Web,complete,clickButton,2019-03-05T12:44:48.479+11:00,OK,Web,complete,clickButton,2019-03-05T12:44:50.943+11:00,,,,
81,value1,value1274,Web,complete,insertValue,2019-03-05T12:45:00.943+11:00,code,19,Web,complete,insertValue,2019-03-05T12:45:11.318+11:00,B7,Web,complete,clickButton,2019-03-05T12:45:14.372+11:00,open,Web,complete,clickButton,2019-03-05T12:45:17.124+11:00,code,19,Web,complete,copy,2019-03-05T12:45:21.850+11:00,paste,B,name,19,Excel,769,complete,2019-03-05T12:45:25.463+11:00,cancel,Web,complete,clickButton,2019-03-05T12:45:29.661+11:00,OK,Web,complete,clickButton,2019-03-05T12:45:31.966+11:00,,
82,value1,value1963,Web,complete,insertValue,2019-03-05T12:45:41.966+11:00,code,26,Web,complete,insertValue,2019-03-05T12:45:52.958+11:00,B7,Web,complete,clickButton,2019-03-05T12:46:06.159+11:00,open,Web,complete,clickButton,2019-03-05T12:46:09.218+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:46:14.107+11:00,data123.xls,name1174,Excel,complete,findValue,TRUE,2019-03-05T12:46:16.829+11:00,cancel,Web,complete,clickButton,2019-03-05T12:46:19.713+11:00,OK,Web,complete,clickButton,2019-03-05T12:46:22.120+11:00,,,,
83,value1,value1405,Web,complete,insertValue,2019-03-05T12:46:32.120+11:00,code,27,Web,complete,insertValue,2019-03-05T12:46:34.619+11:00,B6,Web,complete,clickButton,2019-03-05T12:46:46.803+11:00,Web,complete,goToUrl,2019-03-05T12:46:48.179+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:46:48.179+11:00,code,27,Web,complete,copy,2019-03-05T12:46:50.517+11:00,paste,B,name,27,Excel,1670,complete,2019-03-05T12:46:53.030+11:00,cancel,Web,complete,clickButton,2019-03-05T12:46:58.219+11:00,OK,Web
84,value1,value525,Web,complete,insertValue,2019-03-05T12:47:10.258+11:00,code,21,Web,complete,insertValue,2019-03-05T12:47:15.433+11:00,B7,Web,complete,clickButton,2019-03-05T12:47:24.043+11:00,open,Web,complete,clickButton,2019-03-05T12:47:26.387+11:00,code,21,Web,complete,copy,2019-03-05T12:47:30.055+11:00,paste,B,name,21,Excel,1789,complete,2019-03-05T12:47:32.224+11:00,add,Web,complete,clickButton,2019-03-05T12:47:36.383+11:00,OK,Web,complete,clickButton,2019-03-05T12:47:40.249+11:00,,
85,value1,value1986,Web,complete,insertValue,2019-03-05T12:47:50.249+11:00,code,21,Web,complete,insertValue,2019-03-05T12:47:55.672+11:00,B6,Web,complete,clickButton,2019-03-05T12:47:59.678+11:00,Web,complete,goToUrl,2019-03-05T12:48:02.205+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:48:10.866+11:00,code,21,Web,complete,copy,2019-03-05T12:48:13.488+11:00,paste,B,name,21,Excel,396,complete,2019-03-05T12:48:15.741+11:00,add,Web,complete,clickButton,2019-03-05T12:48:19.313+11:00,OK,Web
86,value1,value486,Web,complete,insertValue,2019-03-05T12:48:31.500+11:00,code,32,Web,complete,insertValue,2019-03-05T12:48:38.960+11:00,B6,Web,complete,clickButton,2019-03-05T12:48:48.878+11:00,open,Web,complete,clickButton,2019-03-05T12:48:51.090+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:48:54.987+11:00,data123.xls,code,32,Web,complete,copy,2019-03-05T12:48:57.352+11:00,paste,B,name,32,Excel,48,complete,2019-03-05T12:49:00.617+11:00,cancel,Web,complete,clickButton,2019-03-05T12:49:05.266+11:00,OK
