Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
34,name,name2615,Web,complete,insertValue,2019-03-07T13:52:41.289+11:00,surname,surname2615,Web,complete,insertValue,2019-03-07T13:52:42.459+11:00,age,age27,Web,complete,insertValue,2019-03-07T13:53:02.985+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:53:04.580+11:00,confirm,Web,complete,clickButton,2019-03-07T13:53:13.945+11:00,B3,Web,complete,clickButton,2019-03-07T13:53:16.806+11:00,Button6,Web,complete,clickButton,2019-03-07T13:53:20.835+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:53:24.777+11:00,data.xls,copy,A,value284,Excel,94,complete,2019-03-07T13:53:28.344+11:00,Special code,value284,Web,complete,paste,2019-03-07T13:53:32.141+11:00,OK,Web,complete,clickButton,2019-03-07T13:53:34.532+11:00,,
35,name,name3654,Web,complete,insertValue,2019-03-07T13:53:44.532+11:00,surname,surname3654,Web,complete,insertValue,2019-03-07T13:53:44.532+11:00,age,age48,Web,complete,insertValue,2019-03-07T13:53:49.381+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:53:57.747+11:00,confirm,Web,complete,clickButton,2019-03-07T13:54:14.066+11:00,B2,Web,complete,clickButton,2019-03-07T13:54:17.405+11:00,value1,value154,Web,complete,insertValue,2019-03-07T13:54:20.282+11:00,code,18,Web,complete,insertValue,2019-03-07T13:54:22.218+11:00,B6,Web,complete,clickButton,2019-03-07T13:54:29.013+11:00,Web,complete,goToUrl,2019-03-07T13:54:32.553+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-07T13:54:38.110+11:00,code,18,Web,complete
36,name,name3723,Web,complete,insertValue,2019-03-07T13:55:10.113+11:00,surname,surname3723,Web,complete,insertValue,2019-03-07T13:55:10.113+11:00,age,age22,Web,complete,insertValue,2019-03-07T13:55:24.087+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:55:33.505+11:00,confirm,Web,complete,clickButton,2019-03-07T13:55:44.440+11:00,B1,Web,complete,clickButton,2019-03-07T13:55:46.262+11:00,name,name3723,Web,complete,copy,2019-03-07T13:55:47.569+11:00,paste,B,name,name3723,Excel,1,complete,2019-03-07T13:55:50.933+11:00,surname,surname3723,Web,complete,copy,2019-03-07T13:55:54.825+11:00,paste,B,surname,surname3723,Excel,1,complete,2019-03-07T13:55:57.386+11:00,add,Web,complete
37,name,name3178,Web,complete,insertValue,2019-03-07T13:56:15.582+11:00,surname,surname3178,Web,complete,insertValue,2019-03-07T13:56:22.804+11:00,age,age28,Web,complete,insertValue,2019-03-07T13:56:32.995+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:56:35.844+11:00,confirm,Web,complete,clickButton,2019-03-07T13:56:45.893+11:00,B5,Web,complete,clickButton,2019-03-07T13:56:47.684+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T13:56:52.305+11:00,Button6,Web,complete,clickButton,2019-03-07T13:56:53.868+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:56:55.512+11:00,data.xls,copy,B,value350,Excel,18,complete,2019-03-07T13:57:05.023+11:00,Special code,value350,Web,complete,paste,2019-03-07T13:57:08.771+11:00,Country
38,name,name2578,Web,complete,insertValue,2019-03-07T13:57:37.436+11:00,surname,surname2578,Web,complete,insertValue,2019-03-07T13:57:43.423+11:00,age,age27,Web,complete,insertValue,2019-03-07T13:57:55.188+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:58:09.788+11:00,confirm,Web,complete,clickButton,2019-03-07T13:58:22.175+11:00,B4,Web,complete,clickButton,2019-03-07T13:58:23.907+11:00,Clients,Web,complete,clickButton,2019-03-07T13:58:29.513+11:00,clientID,ID2578,Web,complete,insertValue,2019-03-07T13:58:32.311+11:00,Web,complete,pressKey,2019-03-07T13:58:42.436+11:00,enter,update,ID2578,Web,complete,clickButton,2019-03-07T13:58:45.773+11:00,address,addA1141addB1523,Web,complete,insertValue,2019-03-07T13:58:49.159+11:00,Country105,country,Web
39,name,name1700,Web,complete,insertValue,2019-03-07T13:59:31.196+11:00,surname,surname1700,Web,complete,insertValue,2019-03-07T13:59:31.196+11:00,age,age22,Web,complete,insertValue,2019-03-07T13:59:38.404+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:59:54.374+11:00,confirm,Web,complete,clickButton,2019-03-07T14:00:01.421+11:00,B3,Web,complete,clickButton,2019-03-07T14:00:04.179+11:00,Button6,Web,complete,clickButton,2019-03-07T14:00:05.156+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:00:08.152+11:00,data.xls,copy,A,value351,Excel,17,complete,2019-03-07T14:00:09.833+11:00,Special code,value351,Web,complete,paste,2019-03-07T14:00:12.534+11:00,OK,Web,complete,clickButton,2019-03-07T14:00:15.952+11:00,,
40,name,name2600,Web,complete,insertValue,2019-03-07T14:00:25.952+11:00,surname,surname2600,Web,complete,insertValue,2019-03-07T14:00:38.879+11:00,age,age20,Web,complete,insertValue,2019-03-07T14:00:49.588+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:00:49.588+11:00,confirm,Web,complete,clickButton,2019-03-07T14:01:00.436+11:00,B1,Web,complete,clickButton,2019-03-07T14:01:01.760+11:00,name,name2600,Web,complete,copy,2019-03-07T14:01:06.139+11:00,paste,B,name,name2600,Excel,1,complete,2019-03-07T14:01:09.286+11:00,surname,surname2600,Web,complete,copy,2019-03-07T14:01:12.793+11:00,paste,B,surname,surname2600,Excel,1,complete,2019-03-07T14:01:15.038+11:00,add,Web,complete
41,name,name110,Web,complete,insertValue,2019-03-07T14:01:32.742+11:00,surname,surname110,Web,complete,insertValue,2019-03-07T14:01:37.214+11:00,age,age21,Web,complete,insertValue,2019-03-07T14:01:39.149+11:00,T4,type,Web,complete,insertValue,2019-03-07T14:01:45.962+11:00,confirm,Web,complete,clickButton,2019-03-07T14:01:49.557+11:00,B5,Web,complete,clickButton,2019-03-07T14:01:51.373+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T14:01:54.303+11:00,Button6,Web,complete,clickButton,2019-03-07T14:02:04.166+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:02:08.400+11:00,data.xls,copy,B,value821,Excel,48,complete,2019-03-07T14:02:08.929+11:00,Special code,value821,Web,complete,paste,2019-03-07T14:02:11.649+11:00,Country
42,name,name1481,Web,complete,insertValue,2019-03-07T14:02:35.192+11:00,surname,surname1481,Web,complete,insertValue,2019-03-07T14:02:46.332+11:00,age,age22,Web,complete,insertValue,2019-03-07T14:02:50.813+11:00,T4,type,Web,complete,insertValue,2019-03-07T14:02:52.359+11:00,confirm,Web,complete,clickButton,2019-03-07T14:03:02.914+11:00,B5,Web,complete,clickButton,2019-03-07T14:03:05.256+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T14:03:09.180+11:00,Button6,Web,complete,clickButton,2019-03-07T14:03:16.262+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:03:19.095+11:00,data.xls,copy,B,value284,Excel,50,complete,2019-03-07T14:03:27.259+11:00,Special code,value284,Web,complete,paste,2019-03-07T14:03:31.034+11:00,Country
43,name,name810,Web,complete,insertValue,2019-03-07T14:03:56.744+11:00,surname,surname810,Web,complete,insertValue,2019-03-07T14:03:56.744+11:00,age,age29,Web,complete,insertValue,2019-03-07T14:04:06.952+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:04:16.884+11:00,confirm,Web,complete,clickButton,2019-03-07T14:04:30.004+11:00,B1,Web,complete,clickButton,2019-03-07T14:04:32.766+11:00,name,name810,Web,complete,copy,2019-03-07T14:04:35.238+11:00,paste,B,name,name810,Excel,1,complete,2019-03-07T14:04:36.618+11:00,surname,surname810,Web,complete,copy,2019-03-07T14:04:38.482+11:00,paste,B,surname,surname810,Excel,1,complete,2019-03-07T14:04:40.781+11:00,add,Web,complete
44,name,name2422,Web,complete,insertValue,2019-03-07T14:05:00.709+11:00,surname,surname2422,Web,complete,insertValue,2019-03-07T14:05:08.944+11:00,age,age22,Web,complete,insertValue,2019-03-07T14:05:16+11:00,T4,type,Web,complete,insertValue,2019-03-07T14:05:29.569+11:00,confirm,Web,complete,clickButton,2019-03-07T14:05:32.897+11:00,B5,Web,complete,clickButton,2019-03-07T14:05:34.747+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T14:05:38.261+11:00,Button6,Web,complete,clickButton,2019-03-07T14:05:44.913+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:05:48.215+11:00,data.xls,copy,B,value319,Excel,78,complete,2019-03-07T14:05:57.877+11:00,Special code,value319,Web,complete,paste,2019-03-07T14:06:01.792+11:00,Country
45,name,name2753,Web,complete,insertValue,2019-03-07T14:06:28.448+11:00,surname,surname2753,Web,complete,insertValue,2019-03-07T14:06:35.881+11:00,age,age37,Web,complete,insertValue,2019-03-07T14:06:47.284+11:00,T3,type,Web,complete,insertValue,2019-03-07T14:06:58.790+11:00,confirm,Web,complete,clickButton,2019-03-07T14:07:03.514+11:00,B4,Web,complete,clickButton,2019-03-07T14:07:06.550+11:00,Clients,Web,complete,clickButton,2019-03-07T14:07:10.866+11:00,clientID,ID2753,Web,complete,insertValue,2019-03-07T14:07:15.938+11:00,Web,complete,pressKey,2019-03-07T14:07:18.895+11:00,enter,update,ID2753,Web,complete,clickButton,2019-03-07T14:07:21.520+11:00,address,addA1445addB1505,Web,complete,insertValue,2019-03-07T14:07:24.459+11:00,Country147,country,Web
46,name,name928,Web,complete,insertValue,2019-03-07T14:07:56.919+11:00,surname,surname928,Web,complete,insertValue,2019-03-07T14:07:57.172+11:00,age,age19,Web,complete,insertValue,2019-03-07T14:08:03.052+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:08:08.552+11:00,confirm,Web,complete,clickButton,2019-03-07T14:08:14.645+11:00,B1,Web,complete,clickButton,2019-03-07T14:08:17.504+11:00,name,name928,Web,complete,copy,2019-03-07T14:08:21.290+11:00,paste,B,name,name928,Excel,1,complete,2019-03-07T14:08:23.305+11:00,surname,surname928,Web,complete,copy,2019-03-07T14:08:26.641+11:00,paste,B,surname,surname928,Excel,1,complete,2019-03-07T14:08:30.035+11:00,add,Web,complete
47,name,name3180,Web,complete,insertValue,2019-03-07T14:08:52.279+11:00,surname,surname3180,Web,complete,insertValue,2019-03-07T14:09:08.613+11:00,age,age19,Web,complete,insertValue,2019-03-07T14:09:25.033+11:00,T4,type,Web,complete,insertValue,2019-03-07T14:09:27.659+11:00,confirm,Web,complete,clickButton,2019-03-07T14:09:34.115+11:00,B5,Web,complete,clickButton,2019-03-07T14:09:35.667+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T14:09:37.195+11:00,Button6,Web,complete,clickButton,2019-03-07T14:09:43.704+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:09:45.666+11:00,data.xls,copy,B,value270,Excel,6,complete,2019-03-07T14:10:00.607+11:00,Special code,value270,Web,complete,paste,2019-03-07T14:10:04.364+11:00,Country
48,name,name3,Web,complete,insertValue,2019-03-07T14:10:28.976+11:00,surname,surname3,Web,complete,insertValue,2019-03-07T14:10:31.036+11:00,age,age34,Web,complete,insertValue,2019-03-07T14:10:35.568+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:10:45.213+11:00,confirm,Web,complete,clickButton,2019-03-07T14:10:49.550+11:00,B1,Web,complete,clickButton,2019-03-07T14:10:53.005+11:00,name,name3,Web,complete,copy,2019-03-07T14:10:55.291+11:00,paste,B,name,name3,Excel,1,complete,2019-03-07T14:10:57.992+11:00,surname,surname3,Web,complete,copy,2019-03-07T14:11:01.273+11:00,paste,B,surname,surname3,Excel,1,complete,2019-03-07T14:11:04.493+11:00,add,Web,complete
49,name,name1901,Web,complete,insertValue,2019-03-07T14:11:22.507+11:00,surname,surname1901,Web,complete,insertValue,2019-03-07T14:11:33.501+11:00,age,age27,Web,complete,insertValue,2019-03-07T14:11:37.478+11:00,T2,type,Web,complete,insertValue,2019-03-07T14:11:42.225+11:00,confirm,Web,complete,clickButton,2019-03-07T14:11:50.059+11:00,B3,Web,complete,clickButton,2019-03-07T14:11:52.817+11:00,Button6,Web,complete,clickButton,2019-03-07T14:11:54.715+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:11:57.264+11:00,data.xls,copy,A,value116,Excel,77,complete,2019-03-07T14:12:00.939+11:00,Special code,value116,Web,complete,paste,2019-03-07T14:12:05.942+11:00,OK,Web,complete,clickButton,2019-03-07T14:12:08.663+11:00,,
50,name,name3382,Web,complete,insertValue,2019-03-07T14:12:18.663+11:00,surname,surname3382,Web,complete,insertValue,2019-03-07T14:12:31.159+11:00,age,age28,Web,complete,insertValue,2019-03-07T14:12:35.963+11:00,T2,type,Web,complete,insertValue,2019-03-07T14:12:44.698+11:00,confirm,Web,complete,clickButton,2019-03-07T14:12:44.698+11:00,B3,Web,complete,clickButton,2019-03-07T14:12:47.513+11:00,Button6,Web,complete,clickButton,2019-03-07T14:12:50.928+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:12:54.808+11:00,data.xls,copy,A,value699,Excel,78,complete,2019-03-07T14:13:01.311+11:00,Special code,value699,Web,complete,paste,2019-03-07T14:13:05.972+11:00,OK,Web,complete,clickButton,2019-03-07T14:13:06.989+11:00,,
51,name,name2132,Web,complete,insertValue,2019-03-07T14:13:16.989+11:00,surname,surname2132,Web,complete,insertValue,2019-03-07T14:13:22.090+11:00,age,age32,Web,complete,insertValue,2019-03-07T14:13:29.087+11:00,T2,type,Web,complete,insertValue,2019-03-07T14:13:40.646+11:00,confirm,Web,complete,clickButton,2019-03-07T14:13:58.173+11:00,B2,Web,complete,clickButton,2019-03-07T14:14:00.525+11:00,value1,value2063,Web,complete,insertValue,2019-03-07T14:14:02.844+11:00,code,21,Web,complete,insertValue,2019-03-07T14:14:07.653+11:00,B6,Web,complete,clickButton,2019-03-07T14:14:16.180+11:00,open,Web,complete,clickButton,2019-03-07T14:14:21.180+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:14:24.963+11:00,data123.xls,code,21,Web
52,name,name3816,Web,complete,insertValue,2019-03-07T14:14:52.850+11:00,surname,surname3816,Web,complete,insertValue,2019-03-07T14:15:02.458+11:00,age,age35,Web,complete,insertValue,2019-03-07T14:15:15.735+11:00,T3,type,Web,complete,insertValue,2019-03-07T14:15:25.769+11:00,confirm,Web,complete,clickButton,2019-03-07T14:15:34.091+11:00,B4,Web,complete,clickButton,2019-03-07T14:15:35.594+11:00,Clients,Web,complete,clickButton,2019-03-07T14:15:38.556+11:00,clientID,ID3816,Web,complete,insertValue,2019-03-07T14:15:39.788+11:00,Web,complete,pressKey,2019-03-07T14:15:48.708+11:00,enter,update,ID3816,Web,complete,clickButton,2019-03-07T14:15:50.966+11:00,address,addA3706addB901,Web,complete,insertValue,2019-03-07T14:15:53.658+11:00,Australia,country,Web
53,name,name869,Web,complete,insertValue,2019-03-07T14:16:55.917+11:00,surname,surname869,Web,complete,insertValue,2019-03-07T14:17:10.486+11:00,age,age29,Web,complete,insertValue,2019-03-07T14:17:22.847+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:17:29.953+11:00,confirm,Web,complete,clickButton,2019-03-07T14:17:29.953+11:00,B1,Web,complete,clickButton,2019-03-07T14:17:34.777+11:00,name,name869,Web,complete,copy,2019-03-07T14:17:38.464+11:00,paste,B,name,name869,Excel,1,complete,2019-03-07T14:17:40.610+11:00,surname,surname869,Web,complete,copy,2019-03-07T14:17:46.182+11:00,paste,B,surname,surname869,Excel,1,complete,2019-03-07T14:17:49.926+11:00,add,Web,complete
54,name,name316,Web,complete,insertValue,2019-03-07T14:18:09.171+11:00,surname,surname316,Web,complete,insertValue,2019-03-07T14:18:09.171+11:00,age,age25,Web,complete,insertValue,2019-03-07T14:18:12.419+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:18:19.824+11:00,confirm,Web,complete,clickButton,2019-03-07T14:18:33.168+11:00,B1,Web,complete,clickButton,2019-03-07T14:18:37.382+11:00,name,name316,Web,complete,copy,2019-03-07T14:18:40.309+11:00,paste,B,name,name316,Excel,1,complete,2019-03-07T14:18:41.179+11:00,surname,surname316,Web,complete,copy,2019-03-07T14:18:43.130+11:00,paste,B,surname,surname316,Excel,1,complete,2019-03-07T14:18:47.354+11:00,add,Web,complete
55,name,name533,Web,complete,insertValue,2019-03-07T14:19:05.492+11:00,surname,surname533,Web,complete,insertValue,2019-03-07T14:19:11.467+11:00,age,age45,Web,complete,insertValue,2019-03-07T14:19:22.303+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:19:22.303+11:00,confirm,Web,complete,clickButton,2019-03-07T14:19:34.020+11:00,B1,Web,complete,clickButton,2019-03-07T14:19:37.367+11:00,name,name533,Web,complete,copy,2019-03-07T14:19:40.449+11:00,paste,B,name,name533,Excel,1,complete,2019-03-07T14:19:44.298+11:00,surname,surname533,Web,complete,copy,2019-03-07T14:19:48.426+11:00,paste,B,surname,surname533,Excel,1,complete,2019-03-07T14:19:51.507+11:00,add,Web,complete
56,name,name305,Web,complete,insertValue,2019-03-07T14:20:10.748+11:00,surname,surname305,Web,complete,insertValue,2019-03-07T14:20:23.670+11:00,age,age48,Web,complete,insertValue,2019-03-07T14:20:29.315+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:20:39.125+11:00,confirm,Web,complete,clickButton,2019-03-07T14:20:46.391+11:00,B1,Web,complete,clickButton,2019-03-07T14:20:51.207+11:00,name,name305,Web,complete,copy,2019-03-07T14:20:53.686+11:00,paste,B,name,name305,Excel,1,complete,2019-03-07T14:20:57.387+11:00,surname,surname305,Web,complete,copy,2019-03-07T14:20:59.857+11:00,paste,B,surname,surname305,Excel,1,complete,2019-03-07T14:21:02.152+11:00,add,Web,complete
57,name,name2012,Web,complete,insertValue,2019-03-07T14:21:23.985+11:00,surname,surname2012,Web,complete,insertValue,2019-03-07T14:21:26.121+11:00,age,age19,Web,complete,insertValue,2019-03-07T14:21:37.489+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:21:47.111+11:00,confirm,Web,complete,clickButton,2019-03-07T14:21:56.969+11:00,B1,Web,complete,clickButton,2019-03-07T14:22:00.613+11:00,name,name2012,Web,complete,copy,2019-03-07T14:22:05.052+11:00,paste,B,name,name2012,Excel,1,complete,2019-03-07T14:22:06.110+11:00,surname,surname2012,Web,complete,copy,2019-03-07T14:22:08.339+11:00,paste,B,surname,surname2012,Excel,1,complete,2019-03-07T14:22:12.590+11:00,add,Web,complete
58,name,name360,Web,complete,insertValue,2019-03-07T14:22:29.600+11:00,surname,surname360,Web,complete,insertValue,2019-03-07T14:22:36.133+11:00,age,age28,Web,complete,insertValue,2019-03-07T14:22:44.789+11:00,T2,type,Web,complete,insertValue,2019-03-07T14:22:52.565+11:00,confirm,Web,complete,clickButton,2019-03-07T14:22:57.385+11:00,B3,Web,complete,clickButton,2019-03-07T14:23:00.523+11:00,Button6,Web,complete,clickButton,2019-03-07T14:23:02.797+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:23:07.146+11:00,data.xls,copy,A,value418,Excel,60,complete,2019-03-07T14:23:10.364+11:00,Special code,value418,Web,complete,paste,2019-03-07T14:23:13.933+11:00,OK,Web,complete,clickButton,2019-03-07T14:23:17.455+11:00,,
59,name,name235,Web,complete,insertValue,2019-03-07T14:23:27.455+11:00,surname,surname235,Web,complete,insertValue,2019-03-07T14:23:36.253+11:00,age,age26,Web,complete,insertValue,2019-03-07T14:23:45.761+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:23:54.661+11:00,confirm,Web,complete,clickButton,2019-03-07T14:23:59.426+11:00,B1,Web,complete,clickButton,2019-03-07T14:24:03.661+11:00,name,name235,Web,complete,copy,2019-03-07T14:24:07.240+11:00,paste,B,name,name235,Excel,1,complete,2019-03-07T14:24:09.343+11:00,surname,surname235,Web,complete,copy,2019-03-07T14:24:11.726+11:00,paste,B,surname,surname235,Excel,1,complete,2019-03-07T14:24:15.406+11:00,add,Web,complete
60,name,name1802,Web,complete,insertValue,2019-03-07T14:24:34.775+11:00,surname,surname1802,Web,complete,insertValue,2019-03-07T14:24:39.244+11:00,age,age19,Web,complete,insertValue,2019-03-07T14:24:46.101+11:00,T4,type,Web,complete,insertValue,2019-03-07T14:24:49.307+11:00,confirm,Web,complete,clickButton,2019-03-07T14:25:01.889+11:00,B5,Web,complete,clickButton,2019-03-07T14:25:03.829+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T14:25:05.268+11:00,Button6,Web,complete,clickButton,2019-03-07T14:25:11.806+11:00,Excel,complete,openFile,Sheet1,2019-03-07T14:25:15.966+11:00,data.xls,copy,B,value230,Excel,91,complete,2019-03-07T14:25:20.824+11:00,Special code,value230,Web,complete,paste,2019-03-07T14:25:23.565+11:00,Country
61,name,name2388,Web,complete,insertValue,2019-03-07T14:25:43.903+11:00,surname,surname2388,Web,complete,insertValue,2019-03-07T14:25:54.146+11:00,age,age18,Web,complete,insertValue,2019-03-07T14:25:59.509+11:00,T1,type,Web,complete,insertValue,2019-03-07T14:26:05.202+11:00,confirm,Web,complete,clickButton,2019-03-07T14:26:15.593+11:00,B1,Web,complete,clickButton,2019-03-07T14:26:18.656+11:00,name,name2388,Web,complete,copy,2019-03-07T14:26:20.531+11:00,paste,B,name,name2388,Excel,1,complete,2019-03-07T14:26:24.002+11:00,surname,surname2388,Web,complete,copy,2019-03-07T14:26:28.592+11:00,paste,B,surname,surname2388,Excel,1,complete,2019-03-07T14:26:31.956+11:00,add,Web,complete
